description;MERO;ZÜLÝ;GÝZO;Toplu
merhaba öncelikle sivilcenin derin izleri,cilt tonu eþitsizliði,gözenek,yað bezesi,siyah nokta bunlar çok inatçý benim cildimde ne yapacaðýmý bilmiyorum Roaccutane tedavisi gördüm ama pürüsüz olmadý cildim sizce hangi ürünleri önerirsiniz bana yardýmcý olur musunuzz??;0;1;2;0
Merve abla cildi çok hassas ve kuru olanlar için cilt bakýmý videosu çeker misin;2;1;2;2
uygun fiyatli diye girdim cerave 120 lira cikti ben gideyim;0;1;2;0
Ben bu videoyu en az 100 defa izledim Merve nin makyaj sohbetlerini dinlemek çok hoþuma gidiyor;1;1;1;1
20 yaþýndayým ve yeni yeni baþlýyorum cilt bakýmýna. Makyaj yapmayý düþünmüyorum. Fakat þu ara sýra çýkan sivilceler, cildimin kuruluðu, lekeler beni sinir ediyor ve özgüvenimi düþürüyoe;0;1;0;0
Cilt tonu esitsizligi icin de oneri yapar mýsýn?;2;1;2;2
Belki pirinç maskesini deneyebilirsin;2;1;2;2
simple içerikleri çok iyi deðil ama çok öneriyorsunuz;0;0;0;0
0,51875;2;1;2;2
"Lütfen bunlarý habgi sýralamayla kullanmamýz gerektiðini ve kaç günde bir kullanmamýz gerektiðini söyleyebilir misiniz;(";2;1;2;2
Simple nemlendirici karma ciltler icin uygundur dimi;2;1;2;2
Uygun diye biliyorum ben;1;1;1;1
Pastle krem allýðýn numarasý nedir bulamadým da :);0;1;2;0
Arkadaþlar herkes burda Merve hanýmý övmüþ çok güzel ama ne olur sizde kullandýðýnýz burdaki ürünler hakta yorum yapýn ki sizde Merve haným kdr yardýmcý olun lütfen.misal burdaki o fondöteni kullananlar kim var memnun musunuz?ben almak istiyorum ama trendyolda çok kötü yorumlar var kararsýz kaldim;0;1;2;0
Þahsen ben cilt bakým rutinini uygulamaya baþladým ve cerave temizleyicisinden çok memnunum yaðlý cildimi nötrledi diyebilirim.;1;1;1;1
Niveanýn lotus çiçekli yüz yýkama jeli nasýl bilginiz varmý?;2;1;2;2
Gül suyunu neden ve hangi aþamada kullanabilirim;2;1;2;2
Merve abla güneþ kremi önerisi yapmadýn cilt bakýmýnda güneþ kremi olmasý gerekmiyor mu;0;1;2;0
Genç ciltler diyor ama 18 yaþ içinde uygun mu?;2;1;2;2
"Yýllardýr uygun fiyatlý ürünler videosu izliyorum hiç bu kadar iþlevsel olanýný görmedim tebrik ederim. Dipte köþe de ne ürün varsa denenmiþ aranmýþ bulunmuþ. "" uygun fiyatlý kaþ ürünü yok makyaj bazý yok beðenemiyorum"" diye video çekenler bi seni izleseler mi? ??";1;1;1;1
bir videonun arasina da sýkýþabilir fark etmez ama düzgün hem uygun fiyatlý fýrça önerebilir misin acaba merve abla?;2;1;2;2
@Ýrem Peker bakacaðým çok saðolun.:);1;1;1;1
Nascitanýn fýrçalarýnýn seveni çok deneyebilirsin bence;1;1;1;1
Abla bomba gibi bir video olmuþ ????;1;1;1;1
ZATEN GÜZELSÝN ÇOK GÜZEL OLMUÞSUN;1;1;1;1
??????????;1;1;1;1
Krem kontür ürünü önerisi de yapabilir misin Merve Abla ??????;2;1;2;2
"Terk edildim ve soluðu burada aldým. Hadi bakalým ;)";0;1;0;0
ilk dakikadan 150 liralýk ürünü koymuþ uygun diye geldim bi de;0;0;2;0
Yaaa senin dogal güzellegin ne olacak masallah????hiç birsey yapmana gerek yok??;1;1;1;1
Dermokil maske bana göre aþýrý yapay kokuyordu ama yapýsý güzel;1;0;0;0
sivilcelerimi nasýl geçirebilirim?;2;1;2;2
linkteki herþey geçlere uygun ddimi;2;1;2;2
Çoðu artýk uygun fiyatlý deðil özellikle kremler tonikler uçmuþ :(;0;0;0;0
Merve ablam en iyi deneyimli YouTuber , golden rose makyaj ürünlerini incelermisin?????lütfenn;1;1;1;1
merve haným merhaba, ben size çok basit bir soru sormak istiyorum cevaplarsanýz çok memnun olurum. günlük makyajda BB cream , pudra ve fondöten bunlardan hangisi cilde en az zarar verir hangisini kullanmamýzý önerirsiniz. Teþekkürler;2;1;2;2
pudra bence özellikle bebek pudrasý hem makyaj hem bakým için kullanýlýyor;2;1;1;1
Merve abla anlatýnca yorumlarý bile okumadan aldým simple ürünlerinden hiç memnun kalmadým 72 saat etkili yazan simple yarýsý bos geldi. Diðerlerinde de bir etki görmedim.;0;1;0;0
keske rujlarin hepsini deneseydinn;0;1;0;0
Ceraveyi eczaneden almýþtým çok memnunum bir týk pahalý ama deðer ucuz alýp boþa gitmesindense;1;1;1;1
Fondoten i bulamadým;1;1;0;1
abla çok güzel öneriler ve ayrýntýlý bir þekilde anlatýyorsunya senni çok seviyorum;1;1;1;1
Merve abla peki bu ürünler 13 yaþa uygun mu;2;1;2;2
uygun fiyatlý urunler demiþsin cerave uygun fiyatlýmý anlayamadým hayret;0;0;0;0
Merve abla 18-28 yaþ arasý uygun fiyatlý cilt bakým serumlarýný geniþ bir alanda inceler misin(Nemlendirici, ýþýltý verici, hyoloronic asit) güvendiðim bi sen varsýn;1;1;2;1
Peki benim google de gezinirken ya dur Merve nin önerilene bakayým demem ?? üniversiteli deðilim yaþ 37 ama her yaþa hitap ediyorsunuz????;1;1;1;1
abla merhaba cera bende alerji yaptý bunun nedenini açýklarmisin;0;0;0;0
Gül suyu bende sivilce yapmýþtý. Karma bir cildim var ama yaðlýya daha yatkýn. Saf gül suyu almýþtým, doðaldý ama sivilce yaptý;0;0;0;0
Gulsha mi kullandýnýz ben karma ciltliyim sever miyim sizce;2;1;2;2
yaðlý ciltler için lavanta suyu daha uygun;1;1;2;1
Angele white a bu kadar benzeyen gormedim;1;1;2;1
Cerave ürünü için sürdükten sonra yüzümüzü yýkamamýza gerek var mý acaba?;2;1;2;2
Vegan ürünler ?? versiyonu gelir miiiii?;2;1;2;2
Önerilen ürünler günlük bakým için di mi söylenen istisnalar dýþýnda bilen varsa lütfen söyleyebilir mi ??;2;1;2;2
Gerçekten doðru ve bilgilendirici bir video olmus;1;1;1;1
öylesine rastgeldim . irem helvacýogluna benzettim :);2;1;2;2
Çok sevindim gençlere uygun video olmuþ??;1;1;1;1
Bu cilt bakýmýný ne sýklýkla yapmamýzý önerirsiniz;2;1;2;2
Bugun canparkta mervenin muhtesem sephora reklamini gordum ??;1;1;1;1
Keþke tek Bi video olsa böyle Bi yýka Bi makyajlý Bi peelingli Bi makyajlý, geçiþli olunca sarmýyor;0;1;0;0
hada labo çok güzel;1;1;1;1
Merhaba merve haným bütün söylediðiniz ürünleri haftada bir ayný anda mý uygulamak gerekiyor;2;1;2;2
Merhabalar Merve ablacým senden ricam procsin ürünlerini incelermisin uygun fiyatlý ve çok övülüyor senin yorumunu merak ediyorum ????;1;1;2;1
Videolarýn kalitesini vs övüp durmuþsunuz yok mu ürünleri deneyen yorumu olan??????? Simple markasýný merak ediyorum da hiç riske girmeden la roche ye devam mý etmeli? Uygun fiyatlý alternatif arýyorum önerilerinizi alýrým;2;1;2;2
sivilceli yüzler için geçiribilecek bakým ürünleri videosu çekermisin merve abla;2;1;2;2
merve abla bir insan bu kadar tatlý ve gg?zel olabilir cildini bizim için denek olarak kullanman ve özenin için tes?ekku?rler seni seviyoruz3;1;1;1;1
Bu videodaki makyajýna bayýldým çok tatlý ve aydýnlýk gözüküyorsun??;1;1;1;1
Ben essence insta perfect fondoten bulamýyorum kalktimi acaba;0;1;2;0
Merve gratisin yeni markasý olan lykd yi denesene;2;1;2;2
Merve gratisin yeni markasý olan lykd yi denesene;2;1;2;2
Merve gratisin yeni markasý olan lykd yi denesene;2;1;2;2
artýk farmasi ürünlerini de görelim sende hiç farmasi ürünlerini yorumlamadin yaaaa;0;1;0;0
Arkadaþlar karma cildim var , celenesin thermal yüz temizleme jelinden aþýrý memnunum hem indirimde fiyatý 33 liraya kadar düþüyor hem de çok uzun vadeli bir ürün;1;1;1;1
Abla 14 yaþýndayým bakým yapmaya bayýlýyorum senide hep takip ediyorum. Bu videoda tavsiye ettiðin ürünlerden hangilerini günlük bakýmýmda kullanayým.(bu arada cildim normal-kuru ve sivilcelerim var);1;1;2;1
Ýhtiyacým olan videoydu tþk ederim;1;1;1;1
Niye bb Krem de çok güzel kapatýcýligi fondöten gibi normalde bb krem sevmeyen ben bile sürekli kullanmaya baþladým tavsiye ederim;1;1;1;1
Mervoþ sivilceye yatkýn normal cilt tipleri için nemlendiriciler önerir misin;2;1;2;2
Merve beaulis markasýnýn tüm ürünleriyle bi makyaj yap;2;1;2;2
Estee lauder inceleme videosu yapar misiniz;2;1;2;2
Pastel allik numarasý kaç;2;1;2;2
makyaj ve cilt bakýmý konusunda gözüm kapalý güvendiðim tek insansýn merve abla çok teþekkürler video için aðzýna saðlýk :);1;1;1;1
Mervecim en iyi budur dediðin mesela en sevdiðin kapatýcý benefitten boi-img.yine kaþ kalemin bu marka gibi gibi (artýk kullanmasanda), demem o ki uygununda deðilim aldýðýmda memnun kalýp waw bir makyaj yapmak istiyorum.ister pahalý ister uygun fiyata olsun hiç farketmez yeter ki doðru ürün olsun.isterse ürün göstermekten izlemekten saatlerimiz geçsin hiç sorun deðil ama yalvarýyorum artýk biten ürünlerimin yerini doðru ürünlerle doldurup delicesine kendimle ilgilenmek bakým yapmak istiyorum.Ne alacaðýmý bilemiyorum çünkü ??????;0;1;2;0
jlo ürünleri denesnee;2;1;2;2
Nasýl guzel výdeo olmus cook tesekkurler;1;1;1;1
Abla bana biraz makyaj masmesi günderirmisin lütfen ya;0;1;2;0
makyaj çok güzel olmuþ çok yakýþmýþ pýrýl pýrýl. müthiþ video;1;1;1;1
Merhaba, yýllardýr bu tarz konularda güvenle takip ettiðim tek youtubersiniz. Yapmacýklýktan uzak, doðasýnýz. Saç bakým ürünleri için de uygun fiyatlý ürünler önerirseniz çok memnun olurum. Videolarýnýz arasýnda bulamadýmmmm;1;1;1;1
kendini gercekten hiç bozmadýn ne sana kötü yorum yazdýgýmda ne de zaman içerisþndeki hitabýnn ve gercekliðin tabi eþ zamanlý diðerlerini de takip ettiðim için bu farký görebildim siizi tebrik ediyorum kalitenizden ödün vermediðiniz için ki bu zamanda mumla aranacak bir nitelik bu kalpler ve sevgiler yolluyorum umarým yorumumu görebilirsiniz:);1;1;1;1
Kýzlar uygun fiyatlý arýyorsanýz beaulis ürünleri 10/10 makyaj;1;1;1;1
yine çok pahalý, nasýl 150 lira vereyim ben bi toniðe?;0;0;0;0
Beaulis markasýnin rujlarý çok kullanýþlý fiyatý da uygun mat olanlardan 5 6 renk aldim indirimden;1;1;1;1
Mervecim essense serum fondoten numarasi kaç beyaz tenliler için uygun mudur çok faydali bir video olmuþ devaminý bekliyoruz;1;1;1;1
eyeliner güzel ve kolay sürülüyor ama çok çabuk silinebiliyor;0;1;1;1
ayyy çok teþekkürlerrrrr merveee ??;1;1;1;1
Lütfen uygun fiyatlý makyaj temizleme suyu önerir misin? Garnier yeþil þiþede olandan kullandým gözüm bir hafta ödemliydi damla kullanmak zorunda kaldým. Þuan ýslak mendille siliyorum aþýrý korkuyorum artýk makyaj temizleme sularýndan. Cildim karma yaðlýya dönük..;0;1;2;0
Önerinle Diorun dudak piling aldým geçen sene , gerçekten güzeldi. Teþekkür;1;1;1;1
Bahsedilen fondotenin 30 numarasýný nerden bulabilirim;2;1;2;2
0:36 Kendi yorumumu gördüm ????;2;2;2;2
Peki ya Hande Atazi’ne bu kadar benzemen ??;2;2;2;2
Nihayet beklenen video geldi;1;2;1;1
Vegan ürün öneri videosu çeker misiniz hem cilt bakým hem makyaj malzemesý ürünleri için;2;1;2;2
Lütfen Lütfen topuk çatlarina öneri verirmisiniz çok muzdaribim bu durumdan ??;0;1;2;0
Abla bakým için kaç yaþ önerirsin ????;2;1;2;2
Ya ben essence insta perfect likit fondöten bulamýyorum yok ya kaldirilmismi;0;1;0;0
gençler için deauty ürünleri benim ilgimi çekti;1;2;1;1
gençler için deauty ürünleri benim ilgimi çekti;1;2;1;1
Lütfen önerebileceðiniz güzel Bi el kremi öneriniz varmý;2;1;2;2
aþkým 3;2;2;1;2
Harikasinnnn????;1;1;1;1
Cildim çok yaðlý çözüm bulamýyorum lütfen çok acil bununla ilgili bir vidyo gelsin.;0;0;0;0
Arkadaþlar bu Ziaja yüz toniðini direk olarak yüze sýkmaya cekiniyorum içerisinde asit olduðu için o þekil kullanmak göze herhangi bir zararý dokunur mu bilen biri varsa bilgilendirirse sevinirim :);0;0;2;0
merve ürünlerin web linkini de ekler misin????;2;2;2;2
Merhaba, far paletini satýn aldým. Bu videodaki makyajý nasýl yaptýn video çeker misin?;1;2;1;1
Harika bir video olmuss??????????;1;1;1;1
Merhaba merve abla yorumumu gec yazmis olabilirim ama lutfen cevap ver cunki senin goruslerine cok guveniyorum benim 12 yasim var ceravenin kopurem temizleyicisini ve likit allik simple nin gunes koruyucu serumunu ve nemlediricisini bi de gul suyu ya da maden suyunu yuzume sprey seklinde sika bilirmiyim maskarada surmek istiyorum ve lip gloos . Maskara,allik bunlari bir yere gidince kullanicam yuzume bi zarari olurmu ben sana azerbeycandan yaziyorum cok kullanmak istiyorum bu mahz etdiklerimi lutfen cabuk görüp cevap ver INSALLAH cabuk gorup cevap verirsin;2;1;2;2
Ya çok faydalý bir video bide lekeler için bir þeyler önerseydin özellikle þu C vitamini serumlarý hakkýnda bilgi verseydin;1;1;1;1
Ya ben nasýl kaydebilirm bu listeyi uygulamada;2;2;2;2
Bayýlýyorum bu konsepte ??;1;1;1;1
Emeðinize saðlýk.. hoda loba fiyatý????;1;1;1;1
Mervecim saatinin kayýþýný nerden aldýn link verir msin? teþkler;2;2;2;2
parfum koleksiyonum g?lsin lutf???n??;1;2;2;2
Hado lobo tokyo içeriði çok temiz bir ürün deðil ve kuru ciltli biri olarak cildime hiç iyi gelmedi;0;0;0;0
Öperiz O temiz kalbinden ????;1;1;1;1
Bal kýz ?? Mervecik ??;1;1;1;1
Bi çoðunu denedim hepsi çok güzel ?? Ama merve sen herþeyden daha güzelsin Maþallah ????????????????????????????;1;1;1;1
????;2;1;1;1
Bu harika video ve diðer her þey için çok teþekkürler yine ýþýl ýþýl görünüyorsun yine bebek gibisin ?? Rica etsem kullanýldýðýnda ten makyajý yapmaya gerek kalmayacak ton eþitleyici/renkli/kapatýcý etkiye sahip güneþ kremlerine özel bi video da yapabilir misin ??;1;1;1;1
Siz ne söyleseniz sanki en doðru o gibi. Çok doðalsýnýz????;1;1;1;1
.;2;2;2;2
Faramsi ürünlerini kullanarak cekseniz mi acaba bý videoda;2;2;2;2
Abla video da ürünleri sýrayla tanýttýn ya iþte ilk üründen son ürüne kadar olan þeyleri sýrayla videoya göre sürsem cildime (Ruj dýþýnda) olur mu acaba?;2;1;2;2
Bu videoda makyajýnýz çok güzel, yüzünüz de gerçekten çok parlak görünüyor. Söylemeden videodan çýkmak istemedim, acaba kendi cilt bakýmý rutininizi de çekseniz mi ????;1;1;1;1
Anlatýþýný da netliðini de doðallýðýný da çok seviyorummmm;1;1;1;1
Çok aradým bunu sende bulcaðýmý düþünmemiþtim merve abla;0;1;0;0
Cerave yi denemek istiyorum ama hakkinda kotu yorumlari okudum açikcasi biraz çekiniyorum. Kullanan var mi ? Sivilcelenmeye yol açtimi?;0;0;0;0
Merve çenene bir iþlem yaptýrdýn mý bilmiyorum ama ne olduysa o kadar güzel olmuþ ve o kadar yakýþmýþ ki gözlerimi alamadým resmen ??;1;1;1;1
@Merve Özkaynak çok pardon daha önce fark edememiþim ama çene hattýn????;2;2;1;2
Hic bir islem yok;0;2;0;0
teþekkürlerr;1;2;1;1
Merve haným yeni 30 olanlar için de 30lu yaþlar cilt bakýmý önerileri videosu çekebilir misiniz?? Yüksek fiyatlý olmasý hiç önemli deðil cildime yatýrým yapmak istiyorum.;2;1;2;2
Merve abla instagram hilelerini veya iþte tiktok hilelerini çekiyorum diye bu video yapar mýsýn lütfen Green tea oil mask diye biþey varya yüzüne sürüyorsun bütün siyah noktalarý fln götürüyor acaba gerçek mi diye merak ettim Meryem ablayada yazdým hanginiz görürse artýk:);2;1;2;2
Merve o pudra bn aldm koyu geldi çünkü bnim tenim cok açik;0;0;0;0
Gercekten her an muthis bir enerji ve istekle bizlere yardimci oluyorsun tesekkurler ?? ne desem az tam ihtiyac aninda oyle videolar atiyosun ki guvenim sonsuz, aciklamalarin videoyu bolum bolum izlenebilcek sekilde yuklenmesi harikasin ????????;1;1;1;1
Ýnanýlmaz mutlu oldum çok teþekkür ederizzz;1;1;1;1
önerdiðiniz ürünlerin içeriði temiz mi acaba;2;0;2;2
Tam benlik bir video olmuþ emeðinize saðlýk bayýlýyorum kozmetik incelemelerinize seviliyorsunuz Merve abla???????????? bayadir sizi deverek takip ediyorum;1;1;1;1
mervecim merhaba bence biraz ürünleri abartarak anlatýyorsun;0;0;0;0
neye gore kimse gore?;2;0;2;2
Merhaba Merve haným ben çaðla Þikel’in proðramýna katýldýnýðýnýzda madensuyu içeren yüz fýsfýs önermiþtniz ama bulamadým. Markasýný öðrenebilirmiyim. Veya videolarýnýzdan birinin içinde varmý?;2;0;0;0
Cok güzel tavsiyelerde bulunmuþsun Merve abla ellerine saðlýk hepsi çok güzel ürünler. Bende YVES ROCHER markasýný çok beðeniyorum yüz yýkama jelini, maskesini ,toniðini ve hediye gelen þampuanýný kullanýyorum ve çok memnun kaldým diðer markalar bende sivilce yapiyordu ama bu markada bir sýkýntý yaþamadým tavsiye ederim kesinlikle;1;1;1;1
Aským seni çok seviyorum ama makyajýn son haliyle giriþ yapýnca iþin bütün heyecaný kaçýyor bence hiç makyajsýz baþlamalýsýn;0;1;1;1
Ýngilizceniz ne kadar duru ve akýcý cok naifsiniz ??????;1;1;1;1
Merve abla linkte ve videoda kullandýðýn ürünlerin bazýlarý bende vardý bazýlarýný da satýn aldým çok teþekkürler ????;1;1;1;1
Saçlarýn çok güzel ve çok uzamýþ;1;1;1;1
ogrenciyiz beee her seyin en ucuzu bile pahali geliyor. zeytinyagli sabunla yikiyorum suratimi artik memnunum da;0;0;1;0
Bb concellar ý fondöten olarak kullanabilir miyiz;2;2;2;2
migrostaki ininal indirimi baya avantajlý duruyor;1;1;1;1
Merve abla La Fera diye bir makyaj markasý var , sanýrsam yeni çýkmýþ ve piyasada ki makyaj markalarýnýn ürünlerine kýyasla daha uygun fiyatlý acaba bir videon da o markaya da yer verir misin senin görüþlerini çok merak ediyorum ve seni çok seviyorum ???;2;1;1;1
Ablacým çocuklar içinde bir kaç ürün denermisinn noluuurrr??????;2;1;2;2
teþekkür ederiz bizi düþündüðünüz için;1;1;1;1
sizi çok seviyorum;1;1;1;1
Abla niye fiyatlarýný yazmýyon ablaaaaaa;2;0;0;0
Çok teþekkür ederiz çok guzel bir video olmuþþ ????;1;1;1;1
þimdi de fiyatýný hakeden pahalý ürünler hakkýnda video çeker misin? pixi’nin toniðini önermiþtin kullandýðým zamandan beri vazgeçemiyorum. bunun gibi baþka önerilerde bulunursan çok sevinirim ????????;1;1;2;1
Abla artýk ürünü bizle açmaktansa kýsa çekimler yapýyorsun bence bizle beraber acman kullanman daha iyiydi??;0;0;1;0
